Files already downloaded and verified
Files already downloaded and verified
Epoch : 11 Iter : 0 VAT_l_f Loss : tensor(1.4953, device='cuda:0') Meta Loss : tensor(1.0867, device='cuda:0')
Epoch : 11 Iter : 100 VAT_l_f Loss : tensor(1.9175, device='cuda:0') Meta Loss : tensor(1.1485, device='cuda:0')
Epoch : 11 Iter : 200 VAT_l_f Loss : tensor(1.1885, device='cuda:0') Meta Loss : tensor(1.1031, device='cuda:0')
Epoch : 11 Iter : 300 VAT_l_f Loss : tensor(1.2574, device='cuda:0') Meta Loss : tensor(0.9820, device='cuda:0')
Epoch : 12 Iter : 0 VAT_l_f Loss : tensor(1.4537, device='cuda:0') Meta Loss : tensor(1.0449, device='cuda:0')
Epoch : 12 Iter : 100 VAT_l_f Loss : tensor(1.2366, device='cuda:0') Meta Loss : tensor(1.0541, device='cuda:0')
Epoch : 12 Iter : 200 VAT_l_f Loss : tensor(1.3086, device='cuda:0') Meta Loss : tensor(1.0745, device='cuda:0')
Epoch : 12 Iter : 300 VAT_l_f Loss : tensor(1.5030, device='cuda:0') Meta Loss : tensor(0.9894, device='cuda:0')
Epoch : 13 Iter : 0 VAT_l_f Loss : tensor(1.9294, device='cuda:0') Meta Loss : tensor(0.9983, device='cuda:0')
Epoch : 13 Iter : 100 VAT_l_f Loss : tensor(1.2922, device='cuda:0') Meta Loss : tensor(0.8594, device='cuda:0')
Epoch : 13 Iter : 200 VAT_l_f Loss : tensor(1.1530, device='cuda:0') Meta Loss : tensor(1.0189, device='cuda:0')
Epoch : 13 Iter : 300 VAT_l_f Loss : tensor(1.3436, device='cuda:0') Meta Loss : tensor(1.0735, device='cuda:0')
Epoch : 14 Iter : 0 VAT_l_f Loss : tensor(1.5382, device='cuda:0') Meta Loss : tensor(1.0561, device='cuda:0')
Epoch : 14 Iter : 100 VAT_l_f Loss : tensor(1.4423, device='cuda:0') Meta Loss : tensor(1.0028, device='cuda:0')
Epoch : 14 Iter : 200 VAT_l_f Loss : tensor(1.1702, device='cuda:0') Meta Loss : tensor(0.8810, device='cuda:0')
Epoch : 14 Iter : 300 VAT_l_f Loss : tensor(1.4638, device='cuda:0') Meta Loss : tensor(0.9951, device='cuda:0')
Epoch : 15 Iter : 0 VAT_l_f Loss : tensor(1.2035, device='cuda:0') Meta Loss : tensor(0.9372, device='cuda:0')
Epoch : 15 Iter : 100 VAT_l_f Loss : tensor(1.2981, device='cuda:0') Meta Loss : tensor(0.9283, device='cuda:0')
Epoch : 15 Iter : 200 VAT_l_f Loss : tensor(1.3136, device='cuda:0') Meta Loss : tensor(0.8436, device='cuda:0')
Epoch : 15 Iter : 300 VAT_l_f Loss : tensor(1.0883, device='cuda:0') Meta Loss : tensor(1.0325, device='cuda:0')
Train accuracy : tensor(0.6562, device='cuda:0')
Test accuracy : tensor(0.5800, device='cuda:0')
Epoch : 16 Iter : 0 VAT_l_f Loss : tensor(1.1285, device='cuda:0') Meta Loss : tensor(0.8757, device='cuda:0')
Epoch : 16 Iter : 100 VAT_l_f Loss : tensor(1.3753, device='cuda:0') Meta Loss : tensor(0.8626, device='cuda:0')
Epoch : 16 Iter : 200 VAT_l_f Loss : tensor(1.7923, device='cuda:0') Meta Loss : tensor(0.8656, device='cuda:0')
Epoch : 16 Iter : 300 VAT_l_f Loss : tensor(1.4162, device='cuda:0') Meta Loss : tensor(0.8467, device='cuda:0')
Epoch : 17 Iter : 0 VAT_l_f Loss : tensor(1.1260, device='cuda:0') Meta Loss : tensor(0.9195, device='cuda:0')
Epoch : 17 Iter : 100 VAT_l_f Loss : tensor(0.9271, device='cuda:0') Meta Loss : tensor(0.8559, device='cuda:0')
Epoch : 17 Iter : 200 VAT_l_f Loss : tensor(0.9646, device='cuda:0') Meta Loss : tensor(0.9623, device='cuda:0')
Epoch : 17 Iter : 300 VAT_l_f Loss : tensor(1.0533, device='cuda:0') Meta Loss : tensor(0.9409, device='cuda:0')
Epoch : 18 Iter : 0 VAT_l_f Loss : tensor(1.2211, device='cuda:0') Meta Loss : tensor(0.8157, device='cuda:0')
Epoch : 18 Iter : 100 VAT_l_f Loss : tensor(1.4203, device='cuda:0') Meta Loss : tensor(0.8393, device='cuda:0')
Epoch : 18 Iter : 200 VAT_l_f Loss : tensor(1.2406, device='cuda:0') Meta Loss : tensor(0.8109, device='cuda:0')
Epoch : 18 Iter : 300 VAT_l_f Loss : tensor(0.8771, device='cuda:0') Meta Loss : tensor(0.8523, device='cuda:0')
Epoch : 19 Iter : 0 VAT_l_f Loss : tensor(1.0258, device='cuda:0') Meta Loss : tensor(0.9466, device='cuda:0')
Epoch : 19 Iter : 100 VAT_l_f Loss : tensor(1.1452, device='cuda:0') Meta Loss : tensor(0.8923, device='cuda:0')
Epoch : 19 Iter : 200 VAT_l_f Loss : tensor(1.1619, device='cuda:0') Meta Loss : tensor(0.8710, device='cuda:0')
Epoch : 19 Iter : 300 VAT_l_f Loss : tensor(1.1096, device='cuda:0') Meta Loss : tensor(0.9772, device='cuda:0')
Epoch : 20 Iter : 0 VAT_l_f Loss : tensor(1.6521, device='cuda:0') Meta Loss : tensor(0.9976, device='cuda:0')
Epoch : 20 Iter : 100 VAT_l_f Loss : tensor(1.2121, device='cuda:0') Meta Loss : tensor(0.9202, device='cuda:0')
Epoch : 20 Iter : 200 VAT_l_f Loss : tensor(0.8380, device='cuda:0') Meta Loss : tensor(0.8686, device='cuda:0')
Epoch : 20 Iter : 300 VAT_l_f Loss : tensor(1.0079, device='cuda:0') Meta Loss : tensor(0.9581, device='cuda:0')
Train accuracy : tensor(0.7188, device='cuda:0')
Test accuracy : tensor(0.6300, device='cuda:0')
Epoch : 21 Iter : 0 VAT_l_f Loss : tensor(0.9890, device='cuda:0') Meta Loss : tensor(0.8422, device='cuda:0')
Epoch : 21 Iter : 100 VAT_l_f Loss : tensor(0.8695, device='cuda:0') Meta Loss : tensor(0.9330, device='cuda:0')
Epoch : 21 Iter : 200 VAT_l_f Loss : tensor(1.1574, device='cuda:0') Meta Loss : tensor(0.8328, device='cuda:0')
Epoch : 21 Iter : 300 VAT_l_f Loss : tensor(0.8966, device='cuda:0') Meta Loss : tensor(0.9249, device='cuda:0')
Epoch : 22 Iter : 0 VAT_l_f Loss : tensor(1.4409, device='cuda:0') Meta Loss : tensor(0.9247, device='cuda:0')
Epoch : 22 Iter : 100 VAT_l_f Loss : tensor(1.1670, device='cuda:0') Meta Loss : tensor(0.8548, device='cuda:0')
Epoch : 22 Iter : 200 VAT_l_f Loss : tensor(1.2046, device='cuda:0') Meta Loss : tensor(1.0344, device='cuda:0')
Epoch : 22 Iter : 300 VAT_l_f Loss : tensor(1.3107, device='cuda:0') Meta Loss : tensor(1.0235, device='cuda:0')
Epoch : 23 Iter : 0 VAT_l_f Loss : tensor(0.7969, device='cuda:0') Meta Loss : tensor(0.8664, device='cuda:0')
Epoch : 23 Iter : 100 VAT_l_f Loss : tensor(1.0588, device='cuda:0') Meta Loss : tensor(0.9067, device='cuda:0')
Epoch : 23 Iter : 200 VAT_l_f Loss : tensor(1.1588, device='cuda:0') Meta Loss : tensor(0.9688, device='cuda:0')
Epoch : 23 Iter : 300 VAT_l_f Loss : tensor(1.0835, device='cuda:0') Meta Loss : tensor(0.7484, device='cuda:0')
Epoch : 24 Iter : 0 VAT_l_f Loss : tensor(1.1950, device='cuda:0') Meta Loss : tensor(0.8344, device='cuda:0')
Epoch : 24 Iter : 100 VAT_l_f Loss : tensor(0.9034, device='cuda:0') Meta Loss : tensor(0.9045, device='cuda:0')
Epoch : 24 Iter : 200 VAT_l_f Loss : tensor(1.0813, device='cuda:0') Meta Loss : tensor(0.8022, device='cuda:0')
Epoch : 24 Iter : 300 VAT_l_f Loss : tensor(1.0335, device='cuda:0') Meta Loss : tensor(0.8718, device='cuda:0')
Epoch : 25 Iter : 0 VAT_l_f Loss : tensor(0.7447, device='cuda:0') Meta Loss : tensor(0.8888, device='cuda:0')
Epoch : 25 Iter : 100 VAT_l_f Loss : tensor(1.1947, device='cuda:0') Meta Loss : tensor(0.9121, device='cuda:0')
Epoch : 25 Iter : 200 VAT_l_f Loss : tensor(1.3479, device='cuda:0') Meta Loss : tensor(0.9833, device='cuda:0')
Epoch : 25 Iter : 300 VAT_l_f Loss : tensor(0.9361, device='cuda:0') Meta Loss : tensor(0.9398, device='cuda:0')
Train accuracy : tensor(0.7500, device='cuda:0')
Test accuracy : tensor(0.6800, device='cuda:0')
Epoch : 26 Iter : 0 VAT_l_f Loss : tensor(0.9114, device='cuda:0') Meta Loss : tensor(0.8887, device='cuda:0')
Epoch : 26 Iter : 100 VAT_l_f Loss : tensor(1.4239, device='cuda:0') Meta Loss : tensor(1.0390, device='cuda:0')
Epoch : 26 Iter : 200 VAT_l_f Loss : tensor(0.7224, device='cuda:0') Meta Loss : tensor(0.7396, device='cuda:0')
Epoch : 26 Iter : 300 VAT_l_f Loss : tensor(1.2289, device='cuda:0') Meta Loss : tensor(0.9791, device='cuda:0')
Epoch : 27 Iter : 0 VAT_l_f Loss : tensor(0.8124, device='cuda:0') Meta Loss : tensor(0.9172, device='cuda:0')
Epoch : 27 Iter : 100 VAT_l_f Loss : tensor(0.8160, device='cuda:0') Meta Loss : tensor(0.9152, device='cuda:0')
Epoch : 27 Iter : 200 VAT_l_f Loss : tensor(1.1751, device='cuda:0') Meta Loss : tensor(0.9246, device='cuda:0')
Epoch : 27 Iter : 300 VAT_l_f Loss : tensor(0.8223, device='cuda:0') Meta Loss : tensor(0.9984, device='cuda:0')
Epoch : 28 Iter : 0 VAT_l_f Loss : tensor(0.8287, device='cuda:0') Meta Loss : tensor(0.9102, device='cuda:0')
Epoch : 28 Iter : 100 VAT_l_f Loss : tensor(1.1947, device='cuda:0') Meta Loss : tensor(1.0404, device='cuda:0')
Epoch : 28 Iter : 200 VAT_l_f Loss : tensor(0.7837, device='cuda:0') Meta Loss : tensor(0.9588, device='cuda:0')
Epoch : 28 Iter : 300 VAT_l_f Loss : tensor(0.7231, device='cuda:0') Meta Loss : tensor(0.9678, device='cuda:0')
Epoch : 29 Iter : 0 VAT_l_f Loss : tensor(1.0678, device='cuda:0') Meta Loss : tensor(0.7929, device='cuda:0')
Epoch : 29 Iter : 100 VAT_l_f Loss : tensor(0.9845, device='cuda:0') Meta Loss : tensor(0.9669, device='cuda:0')
Epoch : 29 Iter : 200 VAT_l_f Loss : tensor(0.7143, device='cuda:0') Meta Loss : tensor(0.8107, device='cuda:0')
Epoch : 29 Iter : 300 VAT_l_f Loss : tensor(1.0215, device='cuda:0') Meta Loss : tensor(0.7774, device='cuda:0')
Epoch : 30 Iter : 0 VAT_l_f Loss : tensor(0.9428, device='cuda:0') Meta Loss : tensor(0.9823, device='cuda:0')
Epoch : 30 Iter : 100 VAT_l_f Loss : tensor(0.7131, device='cuda:0') Meta Loss : tensor(1.1370, device='cuda:0')
Epoch : 30 Iter : 200 VAT_l_f Loss : tensor(1.0190, device='cuda:0') Meta Loss : tensor(0.9404, device='cuda:0')
Epoch : 30 Iter : 300 VAT_l_f Loss : tensor(0.7536, device='cuda:0') Meta Loss : tensor(1.0870, device='cuda:0')
Train accuracy : tensor(0.8125, device='cuda:0')
Test accuracy : tensor(0.5800, device='cuda:0')
Epoch : 31 Iter : 0 VAT_l_f Loss : tensor(0.6267, device='cuda:0') Meta Loss : tensor(0.9257, device='cuda:0')
Epoch : 31 Iter : 100 VAT_l_f Loss : tensor(0.8276, device='cuda:0') Meta Loss : tensor(0.9897, device='cuda:0')
Epoch : 31 Iter : 200 VAT_l_f Loss : tensor(0.7364, device='cuda:0') Meta Loss : tensor(0.7896, device='cuda:0')
Epoch : 31 Iter : 300 VAT_l_f Loss : tensor(0.9654, device='cuda:0') Meta Loss : tensor(0.9345, device='cuda:0')
Epoch : 32 Iter : 0 VAT_l_f Loss : tensor(1.0973, device='cuda:0') Meta Loss : tensor(0.9917, device='cuda:0')
Epoch : 32 Iter : 100 VAT_l_f Loss : tensor(1.0283, device='cuda:0') Meta Loss : tensor(0.9007, device='cuda:0')
Epoch : 32 Iter : 200 VAT_l_f Loss : tensor(0.7722, device='cuda:0') Meta Loss : tensor(0.8181, device='cuda:0')
Epoch : 32 Iter : 300 VAT_l_f Loss : tensor(0.7664, device='cuda:0') Meta Loss : tensor(1.0022, device='cuda:0')
Epoch : 33 Iter : 0 VAT_l_f Loss : tensor(0.7619, device='cuda:0') Meta Loss : tensor(0.8435, device='cuda:0')
Epoch : 33 Iter : 100 VAT_l_f Loss : tensor(1.1657, device='cuda:0') Meta Loss : tensor(0.8780, device='cuda:0')
Epoch : 33 Iter : 200 VAT_l_f Loss : tensor(0.8978, device='cuda:0') Meta Loss : tensor(0.9183, device='cuda:0')
Epoch : 33 Iter : 300 VAT_l_f Loss : tensor(0.9076, device='cuda:0') Meta Loss : tensor(1.0377, device='cuda:0')
Epoch : 34 Iter : 0 VAT_l_f Loss : tensor(1.0450, device='cuda:0') Meta Loss : tensor(0.9483, device='cuda:0')
Epoch : 34 Iter : 100 VAT_l_f Loss : tensor(0.7999, device='cuda:0') Meta Loss : tensor(1.0248, device='cuda:0')
Epoch : 34 Iter : 200 VAT_l_f Loss : tensor(0.8485, device='cuda:0') Meta Loss : tensor(0.9578, device='cuda:0')
Epoch : 34 Iter : 300 VAT_l_f Loss : tensor(0.8384, device='cuda:0') Meta Loss : tensor(1.0711, device='cuda:0')
Epoch : 35 Iter : 0 VAT_l_f Loss : tensor(0.6804, device='cuda:0') Meta Loss : tensor(0.8523, device='cuda:0')
Epoch : 35 Iter : 100 VAT_l_f Loss : tensor(0.9039, device='cuda:0') Meta Loss : tensor(0.9348, device='cuda:0')
Epoch : 35 Iter : 200 VAT_l_f Loss : tensor(0.9619, device='cuda:0') Meta Loss : tensor(0.8960, device='cuda:0')
Epoch : 35 Iter : 300 VAT_l_f Loss : tensor(0.4639, device='cuda:0') Meta Loss : tensor(0.9832, device='cuda:0')
Train accuracy : tensor(0.8750, device='cuda:0')
Test accuracy : tensor(0.6900, device='cuda:0')
Epoch : 36 Iter : 0 VAT_l_f Loss : tensor(0.8689, device='cuda:0') Meta Loss : tensor(1.0127, device='cuda:0')
Epoch : 36 Iter : 100 VAT_l_f Loss : tensor(0.8837, device='cuda:0') Meta Loss : tensor(1.0293, device='cuda:0')
Epoch : 36 Iter : 200 VAT_l_f Loss : tensor(0.7947, device='cuda:0') Meta Loss : tensor(0.7711, device='cuda:0')
Epoch : 36 Iter : 300 VAT_l_f Loss : tensor(1.1818, device='cuda:0') Meta Loss : tensor(0.9046, device='cuda:0')
Epoch : 37 Iter : 0 VAT_l_f Loss : tensor(0.7030, device='cuda:0') Meta Loss : tensor(0.8997, device='cuda:0')
Epoch : 37 Iter : 100 VAT_l_f Loss : tensor(0.9322, device='cuda:0') Meta Loss : tensor(0.8543, device='cuda:0')
Epoch : 37 Iter : 200 VAT_l_f Loss : tensor(0.9478, device='cuda:0') Meta Loss : tensor(0.9170, device='cuda:0')
Epoch : 37 Iter : 300 VAT_l_f Loss : tensor(1.0394, device='cuda:0') Meta Loss : tensor(0.9653, device='cuda:0')
Epoch : 38 Iter : 0 VAT_l_f Loss : tensor(0.6919, device='cuda:0') Meta Loss : tensor(0.7586, device='cuda:0')
Epoch : 38 Iter : 100 VAT_l_f Loss : tensor(0.6483, device='cuda:0') Meta Loss : tensor(1.0472, device='cuda:0')
Epoch : 38 Iter : 200 VAT_l_f Loss : tensor(0.9206, device='cuda:0') Meta Loss : tensor(1.0643, device='cuda:0')
Epoch : 38 Iter : 300 VAT_l_f Loss : tensor(0.8432, device='cuda:0') Meta Loss : tensor(1.2509, device='cuda:0')
Epoch : 39 Iter : 0 VAT_l_f Loss : tensor(1.0001, device='cuda:0') Meta Loss : tensor(0.9764, device='cuda:0')
Epoch : 39 Iter : 100 VAT_l_f Loss : tensor(0.7376, device='cuda:0') Meta Loss : tensor(0.8633, device='cuda:0')
Epoch : 39 Iter : 200 VAT_l_f Loss : tensor(0.7611, device='cuda:0') Meta Loss : tensor(0.8520, device='cuda:0')
Epoch : 39 Iter : 300 VAT_l_f Loss : tensor(0.9588, device='cuda:0') Meta Loss : tensor(0.9676, device='cuda:0')
Epoch : 40 Iter : 0 VAT_l_f Loss : tensor(0.7747, device='cuda:0') Meta Loss : tensor(0.8344, device='cuda:0')
Epoch : 40 Iter : 100 VAT_l_f Loss : tensor(1.1817, device='cuda:0') Meta Loss : tensor(0.9476, device='cuda:0')
Epoch : 40 Iter : 200 VAT_l_f Loss : tensor(0.6089, device='cuda:0') Meta Loss : tensor(0.9961, device='cuda:0')
Epoch : 40 Iter : 300 VAT_l_f Loss : tensor(0.7072, device='cuda:0') Meta Loss : tensor(0.8227, device='cuda:0')
Train accuracy : tensor(0.9062, device='cuda:0')
Test accuracy : tensor(0.5800, device='cuda:0')
Epoch : 41 Iter : 0 VAT_l_f Loss : tensor(1.0604, device='cuda:0') Meta Loss : tensor(0.9998, device='cuda:0')
Epoch : 41 Iter : 100 VAT_l_f Loss : tensor(0.8786, device='cuda:0') Meta Loss : tensor(0.8245, device='cuda:0')
Epoch : 41 Iter : 200 VAT_l_f Loss : tensor(0.6409, device='cuda:0') Meta Loss : tensor(0.9199, device='cuda:0')
Epoch : 41 Iter : 300 VAT_l_f Loss : tensor(0.8119, device='cuda:0') Meta Loss : tensor(0.9692, device='cuda:0')
Epoch : 42 Iter : 0 VAT_l_f Loss : tensor(0.7895, device='cuda:0') Meta Loss : tensor(1.1058, device='cuda:0')
Epoch : 42 Iter : 100 VAT_l_f Loss : tensor(0.8551, device='cuda:0') Meta Loss : tensor(1.2121, device='cuda:0')
Epoch : 42 Iter : 200 VAT_l_f Loss : tensor(0.6948, device='cuda:0') Meta Loss : tensor(0.8485, device='cuda:0')
Epoch : 42 Iter : 300 VAT_l_f Loss : tensor(0.7290, device='cuda:0') Meta Loss : tensor(0.8396, device='cuda:0')
Epoch : 43 Iter : 0 VAT_l_f Loss : tensor(0.6039, device='cuda:0') Meta Loss : tensor(1.0262, device='cuda:0')
Epoch : 43 Iter : 100 VAT_l_f Loss : tensor(0.8670, device='cuda:0') Meta Loss : tensor(1.0580, device='cuda:0')
Epoch : 43 Iter : 200 VAT_l_f Loss : tensor(0.6130, device='cuda:0') Meta Loss : tensor(0.8866, device='cuda:0')
Epoch : 43 Iter : 300 VAT_l_f Loss : tensor(0.7773, device='cuda:0') Meta Loss : tensor(0.9094, device='cuda:0')
Epoch : 44 Iter : 0 VAT_l_f Loss : tensor(0.7697, device='cuda:0') Meta Loss : tensor(0.8861, device='cuda:0')
Epoch : 44 Iter : 100 VAT_l_f Loss : tensor(1.2916, device='cuda:0') Meta Loss : tensor(0.9172, device='cuda:0')
Epoch : 44 Iter : 200 VAT_l_f Loss : tensor(1.0620, device='cuda:0') Meta Loss : tensor(0.9964, device='cuda:0')
Epoch : 44 Iter : 300 VAT_l_f Loss : tensor(0.9461, device='cuda:0') Meta Loss : tensor(0.9398, device='cuda:0')
Epoch : 45 Iter : 0 VAT_l_f Loss : tensor(0.7834, device='cuda:0') Meta Loss : tensor(0.8864, device='cuda:0')
Epoch : 45 Iter : 100 VAT_l_f Loss : tensor(1.0901, device='cuda:0') Meta Loss : tensor(1.2001, device='cuda:0')
Epoch : 45 Iter : 200 VAT_l_f Loss : tensor(0.9475, device='cuda:0') Meta Loss : tensor(1.1528, device='cuda:0')
Epoch : 45 Iter : 300 VAT_l_f Loss : tensor(0.8129, device='cuda:0') Meta Loss : tensor(0.9905, device='cuda:0')
Train accuracy : tensor(0.8750, device='cuda:0')
Test accuracy : tensor(0.7300, device='cuda:0')
Epoch : 46 Iter : 0 VAT_l_f Loss : tensor(0.5506, device='cuda:0') Meta Loss : tensor(0.9745, device='cuda:0')
Epoch : 46 Iter : 100 VAT_l_f Loss : tensor(0.9067, device='cuda:0') Meta Loss : tensor(1.0206, device='cuda:0')
Epoch : 46 Iter : 200 VAT_l_f Loss : tensor(0.6744, device='cuda:0') Meta Loss : tensor(0.7652, device='cuda:0')
Epoch : 46 Iter : 300 VAT_l_f Loss : tensor(0.8546, device='cuda:0') Meta Loss : tensor(0.9356, device='cuda:0')
Epoch : 47 Iter : 0 VAT_l_f Loss : tensor(0.6023, device='cuda:0') Meta Loss : tensor(1.2127, device='cuda:0')
Epoch : 47 Iter : 100 VAT_l_f Loss : tensor(0.6341, device='cuda:0') Meta Loss : tensor(0.8613, device='cuda:0')
Epoch : 47 Iter : 200 VAT_l_f Loss : tensor(0.7386, device='cuda:0') Meta Loss : tensor(1.1041, device='cuda:0')
Epoch : 47 Iter : 300 VAT_l_f Loss : tensor(0.9584, device='cuda:0') Meta Loss : tensor(1.1953, device='cuda:0')
Epoch : 48 Iter : 0 VAT_l_f Loss : tensor(0.8258, device='cuda:0') Meta Loss : tensor(1.1891, device='cuda:0')
Epoch : 48 Iter : 100 VAT_l_f Loss : tensor(0.4603, device='cuda:0') Meta Loss : tensor(0.7738, device='cuda:0')
Epoch : 48 Iter : 200 VAT_l_f Loss : tensor(0.5598, device='cuda:0') Meta Loss : tensor(0.9774, device='cuda:0')
Epoch : 48 Iter : 300 VAT_l_f Loss : tensor(0.8355, device='cuda:0') Meta Loss : tensor(1.1802, device='cuda:0')
Epoch : 49 Iter : 0 VAT_l_f Loss : tensor(0.6409, device='cuda:0') Meta Loss : tensor(1.1911, device='cuda:0')
