Epoch : 10 Iter : 300 VAT_l_f Loss : tensor(2.1315e-07, device='cuda:0') Meta Loss : tensor(2.3058, device='cuda:0')
Train accuracy : tensor(0.0625, device='cuda:0')
Test accuracy : tensor(0.1100, device='cuda:0')
Epoch : 11 Iter : 0 VAT_l_f Loss : tensor(1.4809e-07, device='cuda:0') Meta Loss : tensor(2.2906, device='cuda:0')
Epoch : 11 Iter : 100 VAT_l_f Loss : tensor(1.8984e-07, device='cuda:0') Meta Loss : tensor(2.3161, device='cuda:0')
Epoch : 11 Iter : 200 VAT_l_f Loss : tensor(1.7885e-07, device='cuda:0') Meta Loss : tensor(2.3035, device='cuda:0')
Epoch : 11 Iter : 300 VAT_l_f Loss : tensor(1.6225e-07, device='cuda:0') Meta Loss : tensor(2.3001, device='cuda:0')
Epoch : 12 Iter : 0 VAT_l_f Loss : tensor(1.2451e-07, device='cuda:0') Meta Loss : tensor(2.2942, device='cuda:0')
Epoch : 12 Iter : 100 VAT_l_f Loss : tensor(6.3744e-07, device='cuda:0') Meta Loss : tensor(2.2909, device='cuda:0')
Epoch : 12 Iter : 200 VAT_l_f Loss : tensor(5.7935e-07, device='cuda:0') Meta Loss : tensor(2.3036, device='cuda:0')
Epoch : 12 Iter : 300 VAT_l_f Loss : tensor(2.0464e-07, device='cuda:0') Meta Loss : tensor(2.3130, device='cuda:0')
Epoch : 13 Iter : 0 VAT_l_f Loss : tensor(1.5489e-07, device='cuda:0') Meta Loss : tensor(2.2950, device='cuda:0')
Epoch : 13 Iter : 100 VAT_l_f Loss : tensor(1.0670e-07, device='cuda:0') Meta Loss : tensor(2.3051, device='cuda:0')
Epoch : 13 Iter : 200 VAT_l_f Loss : tensor(1.2839e-07, device='cuda:0') Meta Loss : tensor(2.3160, device='cuda:0')
Epoch : 13 Iter : 300 VAT_l_f Loss : tensor(6.9391e-08, device='cuda:0') Meta Loss : tensor(2.3099, device='cuda:0')
Epoch : 14 Iter : 0 VAT_l_f Loss : tensor(9.0150e-08, device='cuda:0') Meta Loss : tensor(2.3030, device='cuda:0')
Epoch : 14 Iter : 100 VAT_l_f Loss : tensor(8.2733e-08, device='cuda:0') Meta Loss : tensor(2.3206, device='cuda:0')
Epoch : 14 Iter : 200 VAT_l_f Loss : tensor(9.0296e-08, device='cuda:0') Meta Loss : tensor(2.3144, device='cuda:0')
Epoch : 14 Iter : 300 VAT_l_f Loss : tensor(6.8329e-08, device='cuda:0') Meta Loss : tensor(2.3035, device='cuda:0')
Epoch : 15 Iter : 0 VAT_l_f Loss : tensor(8.8958e-08, device='cuda:0') Meta Loss : tensor(2.3111, device='cuda:0')
Epoch : 15 Iter : 100 VAT_l_f Loss : tensor(4.4846e-08, device='cuda:0') Meta Loss : tensor(2.3115, device='cuda:0')
Epoch : 15 Iter : 200 VAT_l_f Loss : tensor(6.9590e-08, device='cuda:0') Meta Loss : tensor(2.3178, device='cuda:0')
Epoch : 15 Iter : 300 VAT_l_f Loss : tensor(1.9659e-06, device='cuda:0') Meta Loss : tensor(2.3044, device='cuda:0')
Train accuracy : tensor(0.0312, device='cuda:0')
Test accuracy : tensor(0.1300, device='cuda:0')
Epoch : 16 Iter : 0 VAT_l_f Loss : tensor(1.6944e-07, device='cuda:0') Meta Loss : tensor(2.3107, device='cuda:0')
Epoch : 16 Iter : 100 VAT_l_f Loss : tensor(3.7935e-08, device='cuda:0') Meta Loss : tensor(2.2961, device='cuda:0')
Epoch : 16 Iter : 200 VAT_l_f Loss : tensor(9.2754e-08, device='cuda:0') Meta Loss : tensor(2.3117, device='cuda:0')
Epoch : 16 Iter : 300 VAT_l_f Loss : tensor(5.3340e-08, device='cuda:0') Meta Loss : tensor(2.3044, device='cuda:0')
Epoch : 17 Iter : 0 VAT_l_f Loss : tensor(5.8402e-08, device='cuda:0') Meta Loss : tensor(2.3037, device='cuda:0')
Epoch : 17 Iter : 100 VAT_l_f Loss : tensor(1.6347e-07, device='cuda:0') Meta Loss : tensor(2.2986, device='cuda:0')
Epoch : 17 Iter : 200 VAT_l_f Loss : tensor(8.0540e-08, device='cuda:0') Meta Loss : tensor(2.3064, device='cuda:0')
Epoch : 17 Iter : 300 VAT_l_f Loss : tensor(6.1113e-08, device='cuda:0') Meta Loss : tensor(2.3157, device='cuda:0')
Epoch : 18 Iter : 0 VAT_l_f Loss : tensor(9.0616e-08, device='cuda:0') Meta Loss : tensor(2.3131, device='cuda:0')
Epoch : 18 Iter : 100 VAT_l_f Loss : tensor(1.3041e-08, device='cuda:0') Meta Loss : tensor(2.3108, device='cuda:0')
Epoch : 18 Iter : 200 VAT_l_f Loss : tensor(2.8968e-06, device='cuda:0') Meta Loss : tensor(2.2706, device='cuda:0')
Epoch : 18 Iter : 300 VAT_l_f Loss : tensor(2.3780e-07, device='cuda:0') Meta Loss : tensor(2.3391, device='cuda:0')
Epoch : 19 Iter : 0 VAT_l_f Loss : tensor(2.4225e-07, device='cuda:0') Meta Loss : tensor(2.3184, device='cuda:0')
Epoch : 19 Iter : 100 VAT_l_f Loss : tensor(1.4698e-07, device='cuda:0') Meta Loss : tensor(2.4181, device='cuda:0')
Epoch : 19 Iter : 200 VAT_l_f Loss : tensor(1.6839e-07, device='cuda:0') Meta Loss : tensor(2.3771, device='cuda:0')
Epoch : 19 Iter : 300 VAT_l_f Loss : tensor(8.4206e-08, device='cuda:0') Meta Loss : tensor(2.2443, device='cuda:0')
Epoch : 20 Iter : 0 VAT_l_f Loss : tensor(1.7124e-07, device='cuda:0') Meta Loss : tensor(2.4125, device='cuda:0')
Epoch : 20 Iter : 100 VAT_l_f Loss : tensor(-1.8359e-08, device='cuda:0') Meta Loss : tensor(2.2689, device='cuda:0')
Epoch : 20 Iter : 200 VAT_l_f Loss : tensor(1.3950e-07, device='cuda:0') Meta Loss : tensor(2.3091, device='cuda:0')
Epoch : 20 Iter : 300 VAT_l_f Loss : tensor(-4.6454e-09, device='cuda:0') Meta Loss : tensor(2.3225, device='cuda:0')
Train accuracy : tensor(0.1875, device='cuda:0')
Test accuracy : tensor(0.1000, device='cuda:0')
Epoch : 21 Iter : 0 VAT_l_f Loss : tensor(4.3535e-08, device='cuda:0') Meta Loss : tensor(2.3999, device='cuda:0')
Epoch : 21 Iter : 100 VAT_l_f Loss : tensor(5.3788e-08, device='cuda:0') Meta Loss : tensor(2.3405, device='cuda:0')
Epoch : 21 Iter : 200 VAT_l_f Loss : tensor(3.9902e-08, device='cuda:0') Meta Loss : tensor(2.3432, device='cuda:0')
Epoch : 21 Iter : 300 VAT_l_f Loss : tensor(3.1192e-08, device='cuda:0') Meta Loss : tensor(2.3016, device='cuda:0')
Epoch : 22 Iter : 0 VAT_l_f Loss : tensor(4.1165e-08, device='cuda:0') Meta Loss : tensor(2.3518, device='cuda:0')
Epoch : 22 Iter : 100 VAT_l_f Loss : tensor(7.2164e-09, device='cuda:0') Meta Loss : tensor(2.3246, device='cuda:0')
Epoch : 22 Iter : 200 VAT_l_f Loss : tensor(-2.8218e-09, device='cuda:0') Meta Loss : tensor(2.3928, device='cuda:0')
Epoch : 22 Iter : 300 VAT_l_f Loss : tensor(2.3320e-08, device='cuda:0') Meta Loss : tensor(2.3259, device='cuda:0')
