Files already downloaded and verified
Files already downloaded and verified
Epoch : 11 Iter : 0 VAT_l_f Loss : tensor(3.5183, device='cuda:0') Meta Loss : tensor(1.1630, device='cuda:0')
Epoch : 11 Iter : 100 VAT_l_f Loss : tensor(3.7922, device='cuda:0') Meta Loss : tensor(1.1794, device='cuda:0')
Epoch : 11 Iter : 200 VAT_l_f Loss : tensor(3.6708, device='cuda:0') Meta Loss : tensor(1.1525, device='cuda:0')
Epoch : 11 Iter : 300 VAT_l_f Loss : tensor(3.5026, device='cuda:0') Meta Loss : tensor(1.1581, device='cuda:0')
Epoch : 12 Iter : 0 VAT_l_f Loss : tensor(3.5265, device='cuda:0') Meta Loss : tensor(1.1120, device='cuda:0')
Epoch : 12 Iter : 100 VAT_l_f Loss : tensor(3.1847, device='cuda:0') Meta Loss : tensor(1.0692, device='cuda:0')
Epoch : 12 Iter : 200 VAT_l_f Loss : tensor(3.5765, device='cuda:0') Meta Loss : tensor(1.1043, device='cuda:0')
Epoch : 12 Iter : 300 VAT_l_f Loss : tensor(3.4481, device='cuda:0') Meta Loss : tensor(1.0743, device='cuda:0')
Epoch : 13 Iter : 0 VAT_l_f Loss : tensor(3.6955, device='cuda:0') Meta Loss : tensor(1.0573, device='cuda:0')
Epoch : 13 Iter : 100 VAT_l_f Loss : tensor(3.2514, device='cuda:0') Meta Loss : tensor(1.0598, device='cuda:0')
Epoch : 13 Iter : 200 VAT_l_f Loss : tensor(3.8471, device='cuda:0') Meta Loss : tensor(1.0439, device='cuda:0')
Epoch : 13 Iter : 300 VAT_l_f Loss : tensor(3.3363, device='cuda:0') Meta Loss : tensor(1.0917, device='cuda:0')
Epoch : 14 Iter : 0 VAT_l_f Loss : tensor(3.4449, device='cuda:0') Meta Loss : tensor(1.0601, device='cuda:0')
Epoch : 14 Iter : 100 VAT_l_f Loss : tensor(3.3840, device='cuda:0') Meta Loss : tensor(1.0935, device='cuda:0')
Epoch : 14 Iter : 200 VAT_l_f Loss : tensor(3.3262, device='cuda:0') Meta Loss : tensor(1.0506, device='cuda:0')
Epoch : 14 Iter : 300 VAT_l_f Loss : tensor(3.0184, device='cuda:0') Meta Loss : tensor(1.0529, device='cuda:0')
Epoch : 15 Iter : 0 VAT_l_f Loss : tensor(3.3932, device='cuda:0') Meta Loss : tensor(1.0475, device='cuda:0')
Epoch : 15 Iter : 100 VAT_l_f Loss : tensor(3.7642, device='cuda:0') Meta Loss : tensor(1.0301, device='cuda:0')
Epoch : 15 Iter : 200 VAT_l_f Loss : tensor(3.3005, device='cuda:0') Meta Loss : tensor(1.0290, device='cuda:0')
Epoch : 15 Iter : 300 VAT_l_f Loss : tensor(3.7489, device='cuda:0') Meta Loss : tensor(0.9755, device='cuda:0')
Train accuracy : tensor(0.7188, device='cuda:0')
Test accuracy : tensor(0.5400, device='cuda:0')
Epoch : 16 Iter : 0 VAT_l_f Loss : tensor(3.6673, device='cuda:0') Meta Loss : tensor(1.0421, device='cuda:0')
